"L1","label","index","documentYear","volume","page","authors","documentName","type","cleanLabel","authorBlock","mergedLabel","jwSimilarity"
"SMITH MK, 2014, CBE-LIFE SCI EDUC","allen deborah, 2005, cell biol educ, v4, p262,","388",2005,"v4","p262","allen deborah","  cell biol educ  ","article","allen deborah, 2005, cell biol educ, v4, p262","allen deborah","allen deborah, 2005, cell biol educ, v4, p262",1
"BENABENTOS R, 2014, CBE-LIFE SCI EDUC","aamc, 2013, mcat gpas appl matr;aamc and the howard hughes medical institute, 2009, sci fdn fut phys;american association for the advancement of science, 2011, vis chang und biol e;arnold ld, 2010, am j public health, v100, p1374,","389",2013,"v100","p1374","aamc","  mcat gpas appl matr;aamc and the howard hughes medical institute 009 sci fdn fut phys;american association for the advancement of science 2011 vis chang und biol e;arnold ld 2010 am j public health  ","article","aamc, 2013, mcat gpas appl matr;aamc and the howard hughes medical institute, 2009, sci fdn fut phys;american association for the advancement of science, 2011, vis chang und biol e;arnold ld, 2010, am j public health, v100, p1374","aamc","aamc, 2013, mcat gpas appl matr;aamc and the howard hughes medical institute, 2009, sci fdn fut phys;american association for the advancement of science, 2011, vis chang und biol e;arnold ld, 2010, am j public health, v100, p1374",1
"CHRISPEELS HE, 2014, CBE-LIFE SCI EDUC","abes e s, 2002, michigan j community, v9, p5;annis lf, 1983, hum learn, v2, p39;armbruster p, 2009, cbelife sci educ, v8, p203,","390",2002,"v9","p5","abes e s","  michigan j community  ;annis lf 983 hum learn v2 p39;armbruster p 2009 cbelife sci educ v8 p203","article","abes e s, 2002, michigan j community, v9, p5;annis lf, 1983, hum learn, v2, p39;armbruster p, 2009, cbelife sci educ, v8, p203","abes e s","abes e s, 2002, michigan j community, v9, p5;annis lf, 1983, hum learn, v2, p39;armbruster p, 2009, cbelife sci educ, v8, p203",1
"BOKOR JR, 2014, CBE-LIFE SCI EDUC","alvarez i, 2003, mol phylogenet evol, v29, p417,","391",2003,"v29","p417","alvarez i","  mol phylogenet evol  ","article","alvarez i, 2003, mol phylogenet evol, v29, p417","alvarez i","alvarez i, 2003, mol phylogenet evol, v29, p417",1
"SATO BK, 2014, CBE-LIFE SCI EDUC","abouserie r, 1995, stud high educ, v20, p19,","393",1995,"v20","p19","abouserie r","  stud high educ  ","article","abouserie r, 1995, stud high educ, v20, p19","abouserie r","aitchison c, 2009, stud high educ, v34, p905",0.709236257928118
"HARVEY PA, 2014, CBE-LIFE SCI EDUC","anderson wa, 2011, science, v331, p152,","394",2011,"v331","p152","anderson wa","  science  ","article","anderson wa, 2011, science, v331, p152","anderson l w","alberts b, 2009, science, v323, p437",0.715237166991553
"WOLKOW TD, 2014, CBE-LIFE SCI EDUC","alberts b, 2013, science, v340, p249,","396",2013,"v340","p249","alberts b","  science  ","article","alberts b, 2013, science, v340, p249","alberts b","alberts b, 2009, science, v323, p437",0.924242424242424
"MAGANA AJ, 2014, CBE-LIFE SCI EDUC","adams r, 2010, proceedings of the 9, v1, p1158;andersson s, 2001, paper presented at t;bagga paramjeet s, 2012, yale journal of biology and medicine, v85, p309;beck j, 2007, paper presented at t, p7;bednarski april e, 2005, cell biol educ, v4, p207,","397",2010,"v1","p1158","adams r","  proceedings of the   ;andersson s 2001 paper presented at t;bagga paramjeet s 2012 yale journal of biology and medicine v85 p309;beck j 2007 paper presented at t p7;bednarski april e 2005 cell biol educ v4 p207","article","adams r, 2010, proceedings of the 9, v1, p1158;andersson s, 2001, paper presented at t;bagga paramjeet s, 2012, yale journal of biology and medicine, v85, p309;beck j, 2007, paper presented at t, p7;bednarski april e, 2005, cell biol educ, v4, p207","adams p","adams r, 2010, proceedings of the 9, v1, p1158;andersson s, 2001, paper presented at t;bagga paramjeet s, 2012, yale journal of biology and medicine, v85, p309;beck j, 2007, paper presented at t, p7;bednarski april e, 2005, cell biol educ, v4, p207",1
"VAN METER-ADAMS A, 2014, CBE-LIFE SCI EDUC","barlow ael, 2004, j res sci teach, v41, p861,","398",2004,"v41","p861","barlow ael","  j res sci teach  ","article","barlow ael, 2004, j res sci teach, v41, p861","barlow ael","abergbengtsson l, 2006, j res sci teach, v43, p43",0.70317488174631
"ANDERSON JL, 2014, CBE-LIFE SCI EDUC","abell sk, 1998, sci educ, v82, p491,","399",1998,"v82","p491","abell sk","  sci educ  ","article","abell sk, 1998, sci educ, v82, p491","abell sk","abell sk, 1998, sci educ, v82, p491",1
"WARD JR, 2014, CBE-LIFE SCI EDUC","allen w, 2003, bioscience, v53, p926,","400",2003,"v53","p926","allen w","  bioscience  ","article","allen w, 2003, bioscience, v53, p926","allen i e","alberts b, 2009, science, v323, p437",0.720899470899471
"KIRCHOFF BK, 2014, CBE-LIFE SCI EDUC","arteca rn, 2006, intro horticulture s;bahrick hp, 1987, j exp psychol learn, v13, p344,","402",2006,"v13","p344","arteca rn","  intro horticulture s;bahrick hp 987 j exp psychol learn  ","article","arteca rn, 2006, intro horticulture s;bahrick hp, 1987, j exp psychol learn, v13, p344","arteca rn","arteca rn, 2006, intro horticulture s;bahrick hp, 1987, j exp psychol learn, v13, p344",1
"BASEY JM, 2014, CBE-LIFE SCI EDUC","addy hd, 2009, lab manual biol;aggulyacin f, 2010, int online j ed sci, v2, p508;american association for the advancement of science, 2010, vis chang und biol e;balci s, 2006, biochem mol biol edu, v34, p199,","405",2009,"v2","p508","addy hd","  lab manual biol;aggulyacin f 010 int online j ed sci  ;american association for the advancement of science 2010 vis chang und biol e;balci s 2006 biochem mol biol edu v34 p199","article","addy hd, 2009, lab manual biol;aggulyacin f, 2010, int online j ed sci, v2, p508;american association for the advancement of science, 2010, vis chang und biol e;balci s, 2006, biochem mol biol edu, v34, p199","addy hd","addy hd, 2009, lab manual biol;aggulyacin f, 2010, int online j ed sci, v2, p508;american association for the advancement of science, 2010, vis chang und biol e;balci s, 2006, biochem mol biol edu, v34, p199",1
"SU T, 2014, CBE-LIFE SCI EDUC","allen deborah, 2003, cell biol educ, v2, p73,","406",2003,"v2","p73","allen deborah","  cell biol educ  ","article","allen deborah, 2003, cell biol educ, v2, p73","allen deborah","allen deborah, 2005, cell biol educ, v4, p262",0.931382935041472
"DEANE T, 2014, CBE-LIFE SCI EDUC","adams d j, 2009, biosci ed, v31, p1,","407",2009,"v31","p1","adams d j","  biosci ed  ","article","adams d j, 2009, biosci ed, v31, p1","adams p","adams d j, 2009, biosci ed, v31, p1",1
"BECK C, 2014, CBE-LIFE SCI EDUC","american association for advancement of science, 2011, vis chang call act;astrazeneca science teaching trust, 2002, att sci teach quest;auchincloss lc, 2014, cbelife sci educ, v13, p29,","409",2011,"v13","p29","american association for advancement of science","  vis chang call act;astrazeneca science teaching trust 002 att sci teach quest;auchincloss lc 2014 cbelife sci educ  ","article","american association for advancement of science, 2011, vis chang call act;astrazeneca science teaching trust, 2002, att sci teach quest;auchincloss lc, 2014, cbelife sci educ, v13, p29","american association for advancement of science","american association for advancement of science, 2011, vis chang call act;astrazeneca science teaching trust, 2002, att sci teach quest;auchincloss lc, 2014, cbelife sci educ, v13, p29",1
"EDDY SL, 2014, CBE-LIFE SCI EDUC","andrews tm, 2011, cbelife sci educ, v10, p394,","410",2011,"v10","p394","andrews tm","  cbelife sci educ  ","article","andrews tm, 2011, cbelife sci educ, v10, p394","andrews tm","abraham jk, 2014, cbelife sci educ, v13, p349",0.755355355355355
"SPETH EB, 2014, CBE-LIFE SCI EDUC","abrams e, 2001, int j sci educ, v23, p1271,","413",2001,"v23","p1271","abrams e","  int j sci educ  ","article","abrams e, 2001, int j sci educ, v23, p1271","abrams e","abell sk, 2008, int j sci educ, v30, p1405",0.863211951447246
"WIEMAN C, 2014, CBE-LIFE SCI EDUC","abdelkhalick f, 2000, int j sci educ, v22, p665,","414",2000,"v22","p665","abdelkhalick f","  int j sci educ  ","article","abdelkhalick f, 2000, int j sci educ, v22, p665","abdelkhalick f","abell sk, 2008, int j sci educ, v30, p1405",0.753996397613419
"GORMALLY C, 2014, CBE-LIFE SCI EDUC","aaas, 2011, vis chang und biol c;abrami pc, 1989, res high educ, v30, p221,","415",2011,"v30","p221","aaas","  vis chang und biol c;abrami pc 989 res high educ  ","article","aaas, 2011, vis chang und biol c;abrami pc, 1989, res high educ, v30, p221","aaas","aaas, 2011, vis chang und biol c;abrami pc, 1989, res high educ, v30, p221",1
"BROWNELL SE, 2014, CBE-LIFE SCI EDUC","alles dl, 2001, am biol teach, v63, p20,","416",2001,"v63","p20","alles dl","  am biol teach  ","article","alles dl, 2001, am biol teach, v63, p20","alles dl","alles dl, 2001, am biol teach, v63, p20",1
"WYSE SA, 2014, CBE-LIFE SCI EDUC","abbott r d, 1989, teaching assistant t, v1989, p111;addy tm, 2010, int j sci educ, v32, p1045,","417",1989,"v1989","p111","abbott r d","  teaching assistant t  ;addy tm 010 int j sci educ v32 p1045","article","abbott r d, 1989, teaching assistant t, v1989, p111;addy tm, 2010, int j sci educ, v32, p1045","abbott r d","abbott r d, 1989, teaching assistant t, v1989, p111;addy tm, 2010, int j sci educ, v32, p1045",1
"STEVENS LM, 2014, CBE-LIFE SCI EDUC","adams wk, 2006, phys rev spec topph, v2,","418",2006,"v2",NA,"adams wk","  phys rev spec topph ","article","adams wk, 2006, phys rev spec topph, v2","adams wk","adams wk, 2006, phys rev spec topph, v2",1
"VAN LACUM EB, 2014, CBE-LIFE SCI EDUC","andrews r, 2010, argumentation higher;bas o, 2007, neurochem int, v50, p548,","420",2010,"v50","p548","andrews r","  argumentation higher;bas o 007 neurochem int  ","article","andrews r, 2010, argumentation higher;bas o, 2007, neurochem int, v50, p548","andrew s","andrews r, 2010, argumentation higher;bas o, 2007, neurochem int, v50, p548",1
"EEDS A, 2014, CBE-LIFE SCI EDUC","adelman c, 1999, answers in the tool;american physiological society, 2009, seminar on sharing s;american society of human genetics, 2012, statement on the imp;andrews e, 2005, jge, v53, p281,","423",1999,"v53","p281","adelman c","  answers in the tool;american physiological society 009 seminar on sharing s;american society of human genetics 2012 statement on the imp;andrews e 2005 jge  ","article","adelman c, 1999, answers in the tool;american physiological society, 2009, seminar on sharing s;american society of human genetics, 2012, statement on the imp;andrews e, 2005, jge, v53, p281","adelman c","adelman c, 1999, answers in the tool;american physiological society, 2009, seminar on sharing s;american society of human genetics, 2012, statement on the imp;andrews e, 2005, jge, v53, p281",1
"MYNLIEFF M, 2014, CBE-LIFE SCI EDUC","ainley m, 2002, j educ psychol, v94, p545,","424",2002,"v94","p545","ainley m","  j educ psychol  ","article","ainley m, 2002, j educ psychol, v94, p545","ainley m","ainley m, 2002, j educ psychol, v94, p545",1
"HANSEN MJ, 2014, CBE-LIFE SCI EDUC","adams wk, 2006, phys rev spec topph, v2,","426",2006,"v2",NA,"adams wk","  phys rev spec topph ","article","adams wk, 2006, phys rev spec topph, v2","adams wk","adams wk, 2006, phys rev spec topph, v2",1
"WRIGHT LK, 2014, CBE-LIFE SCI EDUC","adams wk, 2011, int j sci educ, v33, p1289,","427",2011,"v33","p1289","adams wk","  int j sci educ  ","article","adams wk, 2011, int j sci educ, v33, p1289","adams wk","abell sk, 2008, int j sci educ, v30, p1405",0.830853174603175
"GRUNSPAN DZ, 2014, CBE-LIFE SCI EDUC","barabasi al, 2011, nat rev genet, v12, p56,","428",2011,"v12","p56","barabasi al","  nat rev genet  ","article","barabasi al, 2011, nat rev genet, v12, p56","barabasi al","bamshad m, 2004, nat rev genet, v5, p598",0.751676907322068
"LEONARD MJ, 2014, CBE-LIFE SCI EDUC","abraham jk, 2012, cbelife sci educ, v11, p152,","429",2012,"v11","p152","abraham jk","  cbelife sci educ  ","article","abraham jk, 2012, cbelife sci educ, v11, p152","abraham jk","abraham jk, 2014, cbelife sci educ, v13, p349",0.925925925925926
"ABRAHAM JK, 2014, CBE-LIFE SCI EDUC","abraham jk, 2012, cbelife sci educ, v11, p152,","430",2012,"v11","p152","abraham jk","  cbelife sci educ  ","article","abraham jk, 2012, cbelife sci educ, v11, p152","abraham jk","abraham jk, 2014, cbelife sci educ, v13, p349",0.925925925925926
"HOBIN JA, 2014, CBE-LIFE SCI EDUC","abele ae, 2008, j occup organ psych, v81, p733,","431",2008,"v81","p733","abele ae","  j occup organ psych  ","article","abele ae, 2008, j occup organ psych, v81, p733","abele ae","agho ao, 1992, j occup organ psych, v65, p185",0.755739590522199
"GUTIERREZ AF, 2014, CBE-LIFE SCI EDUC","barclay sm, 2011, am j pharm educ, v75,","432",2011,"v75",NA,"barclay sm","  am j pharm educ ","article","barclay sm, 2011, am j pharm educ, v75","barclay sm","barclay sm, 2011, am j pharm educ, v75",1
"HOLT EA, 2014, CBE-LIFE SCI EDUC","bernard rm, 2004, rev educ res, v74, p379,","433",2004,"v74","p379","bernard rm","  rev educ res  ","article","bernard rm, 2004, rev educ res, v74, p379","bernard rm","alexander pa, 1988, rev educ res, v58, p375",0.748682800781496
"STONE EM, 2014, CBE-LIFE SCI EDUC","abdelkhalick f, 2000, int j sci educ, v22, p665,","434",2000,"v22","p665","abdelkhalick f","  int j sci educ  ","article","abdelkhalick f, 2000, int j sci educ, v22, p665","abdelkhalick f","abell sk, 2008, int j sci educ, v30, p1405",0.753996397613419
"SPELL RM, 2014, CBE-LIFE SCI EDUC","american association for advancement of science, 2011, vis chang call act;apedoe x s, 2006, j geoscience ed, v54, p414;bell e, 2011, biochem mol biol edu, v39, p10,","435",2011,"v54","p414","american association for advancement of science","  vis chang call act;apedoe x s 006 j geoscience ed  ;bell e 2011 biochem mol biol edu v39 p10","article","american association for advancement of science, 2011, vis chang call act;apedoe x s, 2006, j geoscience ed, v54, p414;bell e, 2011, biochem mol biol edu, v39, p10","american association for advancement of science","american association for advancement of science, 2011, vis chang call act;apedoe x s, 2006, j geoscience ed, v54, p414;bell e, 2011, biochem mol biol edu, v39, p10",1
"ADEDOKUN OA, 2014, CBE-LIFE SCI EDUC","adedokun o a, 2012, j coll sci teach, v42, p82;adedokun oa, 2012, ann m nat ass res sc;bauer kw, 2003, j high educ, v74, p210,","437",2012,"v42","p82","adedokun o a","  j coll sci teach  ;adedokun oa 012 ann m nat ass res sc;bauer kw 2003 j high educ v74 p210","article","adedokun o a, 2012, j coll sci teach, v42, p82;adedokun oa, 2012, ann m nat ass res sc;bauer kw, 2003, j high educ, v74, p210","adedokun o a","adedokun o a, 2012, j coll sci teach, v42, p82;adedokun oa, 2012, ann m nat ass res sc;bauer kw, 2003, j high educ, v74, p210",1
"AUCHINCLOSS LC, 2014, CBE-LIFE SCI EDUC","adedokun oa, 2013, j res sci teach, v50, p940,","438",2013,"v50","p940","adedokun oa","  j res sci teach  ","article","adedokun oa, 2013, j res sci teach, v50, p940","adedokun o a","abergbengtsson l, 2006, j res sci teach, v43, p43",0.669418878662576
"THEOBALD R, 2014, CBE-LIFE SCI EDUC","aly m, 2004, eur j dent educ, v8, p43,","439",2004,"v8","p43","aly m","  eur j dent educ  ","article","aly m, 2004, eur j dent educ, v8, p43","aly m","aly m, 2004, eur j dent educ, v8, p43",1
"HESTER S, 2014, CBE-LIFE SCI EDUC","anonymous, 2009, sci fdn fut phys;britton s, 2002, p 2 int c teach math;expanded, 2000, learn transf peopl l, p51;freeman scott, 2007, cbe life sci educ, v6, p132,","440",2009,"v6","p51","anonymous","  sci fdn fut phys;britton s 002 p 2 int c teach math;expanded 2000 learn transf peopl l ;freeman scott 2007 cbe life sci educ  p132","article","anonymous, 2009, sci fdn fut phys;britton s, 2002, p 2 int c teach math;expanded, 2000, learn transf peopl l, p51;freeman scott, 2007, cbe life sci educ, v6, p132","anonymous","anonymous, 2009, sci fdn fut phys;britton s, 2002, p 2 int c teach math;expanded, 2000, learn transf peopl l, p51;freeman scott, 2007, cbe life sci educ, v6, p132",1
"PRICE RM, 2014, CBE-LIFE SCI EDUC","abraham jk, 2014, cbe life sc in press;american association for the advancement of science, 2011, vis chang und biol e;anderson dl, 2002, j res sci teach, v39, p952,","441",2014,"v39","p952","abraham jk","  cbe life sc ;american association for the advancement of science 011 vis chang und biol e;anderson dl 2002 j res sci teach  ","article","abraham jk, 2014, cbe life sc in press;american association for the advancement of science, 2011, vis chang und biol e;anderson dl, 2002, j res sci teach, v39, p952","abraham jk","abraham jk, 2014, cbe life sc in press;american association for the advancement of science, 2011, vis chang und biol e;anderson dl, 2002, j res sci teach, v39, p952",1
"HANAUER DI, 2014, CBE-LIFE SCI EDUC","adedokun oa, 2013, j res sci teach, v50, p940,","443",2013,"v50","p940","adedokun oa","  j res sci teach  ","article","adedokun oa, 2013, j res sci teach, v50, p940","adedokun o a","abergbengtsson l, 2006, j res sci teach, v43, p43",0.669418878662576
"CLEMENTS JD, 2013, CBE-LIFE SCI EDUC","american society for biochemistry and molecular biology, 2008, bioch mol biol lib e;balster n, 2010, cbelife sci educ, v9, p108,","444",2008,"v9","p108","american society for biochemistry and molecular biology","  bioch mol biol lib e;balster n 010 cbelife sci educ  ","article","american society for biochemistry and molecular biology, 2008, bioch mol biol lib e;balster n, 2010, cbelife sci educ, v9, p108","american society for biochemistry and molecular biology","american society for biochemistry and molecular biology, 2008, bioch mol biol lib e;balster n, 2010, cbelife sci educ, v9, p108",1
"LOVELACE M, 2013, CBE-LIFE SCI EDUC","adams wk, 2011, int j sci educ, v33, p1289,","445",2011,"v33","p1289","adams wk","  int j sci educ  ","article","adams wk, 2011, int j sci educ, v33, p1289","adams wk","abell sk, 2008, int j sci educ, v30, p1405",0.830853174603175
"KNIGHT JK, 2013, CBE-LIFE SCI EDUC","asterhan csc, 2009, cognitive sci, v33, p374,","448",2009,"v33","p374","asterhan csc","  cognitive sci  ","article","asterhan csc, 2009, cognitive sci, v33, p374","asterhan csc","chi mth, 1994, cognitive sci, v18, p439",0.672571872571873
"KALAS P, 2013, CBE-LIFE SCI EDUC","adams wk, 2011, int j sci educ, v33, p1289,","449",2011,"v33","p1289","adams wk","  int j sci educ  ","article","adams wk, 2011, int j sci educ, v33, p1289","adams wk","abell sk, 2008, int j sci educ, v30, p1405",0.830853174603175
"PEREZ KE, 2013, CBE-LIFE SCI EDUC","adams wk, 2011, int j sci educ, v33, p1289,","450",2011,"v33","p1289","adams wk","  int j sci educ  ","article","adams wk, 2011, int j sci educ, v33, p1289","adams wk","abell sk, 2008, int j sci educ, v30, p1405",0.830853174603175
"HOBBS FC, 2013, CBE-LIFE SCI EDUC","anderson l w, 2001, taxonomy learning te;bauerdantoin a, 2009, exploring signature, p224;baum da, 2005, science, v310, p979,","451",2001,"v310","p224","anderson l w","  taxonomy learning te;bauerdantoin a 009 exploring signature ;baum da 2005 science  p979","article","anderson l w, 2001, taxonomy learning te;bauerdantoin a, 2009, exploring signature, p224;baum da, 2005, science, v310, p979","anderson l w","anderson l w, 2001, taxonomy learning te;bauerdantoin a, 2009, exploring signature, p224;baum da, 2005, science, v310, p979",1
"LOIKE JD, 2013, CBE-LIFE SCI EDUC","adam mb, 2011, am acad pediat bioet;beauchamp t, 2009, principles bioethics;beauchamp tl, 2001, principles biomedica;beauchamp tl, 2007, kennedy inst ethic j, v17, p55,","453",2011,"v17","p55","adam mb","  am acad pediat bioet;beauchamp t 009 principles bioethics;beauchamp tl 2001 principles biomedica;beauchamp tl 2007 kennedy inst ethic j  ","article","adam mb, 2011, am acad pediat bioet;beauchamp t, 2009, principles bioethics;beauchamp tl, 2001, principles biomedica;beauchamp tl, 2007, kennedy inst ethic j, v17, p55","adam mb","adam mb, 2011, am acad pediat bioet;beauchamp t, 2009, principles bioethics;beauchamp tl, 2001, principles biomedica;beauchamp tl, 2007, kennedy inst ethic j, v17, p55",1
"GIBBS KD, 2013, CBE-LIFE SCI EDUC","adams hg, 1992, mentoring essential;antony js, 2004, paths professoriate, p92;austin j, 2012, science, v337, p1149,","454",1992,"v337","p92","adams hg","  mentoring essential;antony js 004 paths professoriate ;austin j 2012 science  p1149","article","adams hg, 1992, mentoring essential;antony js, 2004, paths professoriate, p92;austin j, 2012, science, v337, p1149","adams p","adams hg, 1992, mentoring essential;antony js, 2004, paths professoriate, p92;austin j, 2012, science, v337, p1149",1
"CAMERON LC, 2013, CBE-LIFE SCI EDUC","bench jc, 1995, biochem educ, v23, p192,","455",1995,"v23","p192","bench jc","  biochem educ  ","article","bench jc, 1995, biochem educ, v23, p192","bench jc","bench jc, 1995, biochem educ, v23, p192",1
"ALLCHIN D, 2013, CBE-LIFE SCI EDUC","allchin d, 2009, debating galileos di;allchin d, 1996, j coll sci teach, v30, p33;allchin d, 2004, sci ed, v13, p179,","456",2009,"v30","p33","allchin d","  debating galileos di;allchin d 996 j coll sci teach  ;allchin d 2004 sci ed v13 p179","article","allchin d, 2009, debating galileos di;allchin d, 1996, j coll sci teach, v30, p33;allchin d, 2004, sci ed, v13, p179","allchin d","allchin d, 2009, debating galileos di;allchin d, 1996, j coll sci teach, v30, p33;allchin d, 2004, sci ed, v13, p179",1
"D'AVANZO C, 2013, CBE-LIFE SCI EDUC","adams je, 2012, j coll sci teach, v41, p18;all ac, 1997, j adv nurs, v25, p1210,","457",2012,"v41","p18","adams je","  j coll sci teach  ;all ac 997 j adv nurs v25 p1210","article","adams je, 2012, j coll sci teach, v41, p18;all ac, 1997, j adv nurs, v25, p1210","adams p","adams je, 2012, j coll sci teach, v41, p18;all ac, 1997, j adv nurs, v25, p1210",1
"GREGG CS, 2013, CBE-LIFE SCI EDUC","ales jd, 2010, louisiana sci, v1, p62;american association for the advancement of science, 2010, vis chang call act;american association of community colleges (aacc), 2013, 2013 comm coll fact, p1;anderson wa, 2011, science, v331, p152,","458",2010,"v1","p62","ales jd","  louisiana sci  ;american association for the advancement of science 010 vis chang call act;american association of community colleges (aacc) 2013 2013 comm coll fact p1;anderson wa 2011 science v331 p152","article","ales jd, 2010, louisiana sci, v1, p62;american association for the advancement of science, 2010, vis chang call act;american association of community colleges (aacc), 2013, 2013 comm coll fact, p1;anderson wa, 2011, science, v331, p152","ales jd","ales jd, 2010, louisiana sci, v1, p62;american association for the advancement of science, 2010, vis chang call act;american association of community colleges (aacc), 2013, 2013 comm coll fact, p1;anderson wa, 2011, science, v331, p152",1
"CAMPBELL AG, 2013, CBE-LIFE SCI EDUC","anonymous, 2012, eng exc prod on mill;boyack kw, 2011, j am med inform assn, v18, p423,","459",2012,"v18","p423","anonymous","  eng exc prod on mill;boyack kw 011 j am med inform assn  ","article","anonymous, 2012, eng exc prod on mill;boyack kw, 2011, j am med inform assn, v18, p423","anonymous","anonymous, 2012, eng exc prod on mill;boyack kw, 2011, j am med inform assn, v18, p423",1
"KABACOFF C, 2013, CBE-LIFE SCI EDUC","bridgeland jm, 2006, silent epidemic pers;carlone hb, 2007, j res sci teach, v44, p1187,","460",2006,"v44","p1187","bridgeland jm","  silent epidemic pers;carlone hb 007 j res sci teach  ","article","bridgeland jm, 2006, silent epidemic pers;carlone hb, 2007, j res sci teach, v44, p1187","bridgeland jm","bridgeland jm, 2006, silent epidemic pers;carlone hb, 2007, j res sci teach, v44, p1187",1
"RISSING SW, 2013, CBE-LIFE SCI EDUC","aaas, 2009, vis chang call act s;aamc, 2010, rat imp nat in press;aamc, 2011, med coll adm req 201;aamc, 2009, 1 year enr appl us m;aamc, 2009, off guid mcat ex;aamc, 2002, mcat sci cont rev 2;aamc, 2011, appl 1 tim appl acc;aamc, 2008, perc mcat ex ach sca;aamc, 2009, mcat gpas appl matr;aamc and the howard hughes medical institute, 2009, sci fdn fut phys;alberts b, 2009, science, v323, p437,","461",2009,"v323","p437","aaas","  vis chang call act s;aamc 010 rat imp nat ;aamc 2011 med coll adm req 201;aamc 2009 1 year enr appl us m;aamc 2009 off guid mcat ex;aamc 2002 mcat sci cont rev 2;aamc 2011 appl 1 tim appl acc;aamc 2008 perc mcat ex ach sca;aamc 2009 mcat gpas appl matr;aamc and the howard hughes medical institute 2009 sci fdn fut phys;alberts b 2009 science  ","article","aaas, 2009, vis chang call act s;aamc, 2010, rat imp nat in press;aamc, 2011, med coll adm req 201;aamc, 2009, 1 year enr appl us m;aamc, 2009, off guid mcat ex;aamc, 2002, mcat sci cont rev 2;aamc, 2011, appl 1 tim appl acc;aamc, 2008, perc mcat ex ach sca;aamc, 2009, mcat gpas appl matr;aamc and the howard hughes medical institute, 2009, sci fdn fut phys;alberts b, 2009, science, v323, p437","aaas","aaas, 2009, vis chang call act s;aamc, 2010, rat imp nat in press;aamc, 2011, med coll adm req 201;aamc, 2009, 1 year enr appl us m;aamc, 2009, off guid mcat ex;aamc, 2002, mcat sci cont rev 2;aamc, 2011, appl 1 tim appl acc;aamc, 2008, perc mcat ex ach sca;aamc, 2009, mcat gpas appl matr;aamc and the howard hughes medical institute, 2009, sci fdn fut phys;alberts b, 2009, science, v323, p437",1
"WU JL, 2013, CBE-LIFE SCI EDUC","adams d j, 2009, biosci ed, v31, p1,","462",2009,"v31","p1","adams d j","  biosci ed  ","article","adams d j, 2009, biosci ed, v31, p1","adams p","adams d j, 2009, biosci ed, v31, p1",1
"HOST GE, 2013, CBE-LIFE SCI EDUC","alberts b, 2008, mol biol cell;alvesson m, 2009, reflexive methodolog;ausubel david paul, 1968, ed psychol cognitive;banerjee ac, 1995, j chem educ, v72, p879,","463",2008,"v72","p879","alberts b","  mol biol cell;alvesson m 009 reflexive methodolog;ausubel david paul 1968 ed psychol cognitive;banerjee ac 1995 j chem educ  ","article","alberts b, 2008, mol biol cell;alvesson m, 2009, reflexive methodolog;ausubel david paul, 1968, ed psychol cognitive;banerjee ac, 1995, j chem educ, v72, p879","alberts b","alberts b, 2008, mol biol cell;alvesson m, 2009, reflexive methodolog;ausubel david paul, 1968, ed psychol cognitive;banerjee ac, 1995, j chem educ, v72, p879",1
"KALINOWSKI ST, 2013, CBE-LIFE SCI EDUC","abrams e, 2010, int j sci ed, v23, p1271;anderson dl, 2002, j res sci teach, v39, p952,","464",2010,"v23","p1271","abrams e","  int j sci ed  ;anderson dl 002 j res sci teach v39 p952","article","abrams e, 2010, int j sci ed, v23, p1271;anderson dl, 2002, j res sci teach, v39, p952","abrams e","abrams e, 2010, int j sci ed, v23, p1271;anderson dl, 2002, j res sci teach, v39, p952",1
"HIATT A, 2013, CBE-LIFE SCI EDUC","abraham jk, 2012, cbelife sci educ, v11, p152,","465",2012,"v11","p152","abraham jk","  cbelife sci educ  ","article","abraham jk, 2012, cbelife sci educ, v11, p152","abraham jk","abraham jk, 2014, cbelife sci educ, v13, p349",0.925925925925926
"ORR R, 2013, CBE-LIFE SCI EDUC","bjork e l, 2011, psychol real world e, p56;dobson jl, 2008, adv physiol educ, v32, p297,","466",2011,"v32","p56","bjork e l","  psychol real world e ;dobson jl 008 adv physiol educ  p297","article","bjork e l, 2011, psychol real world e, p56;dobson jl, 2008, adv physiol educ, v32, p297","bjork el","bjork e l, 2011, psychol real world e, p56;dobson jl, 2008, adv physiol educ, v32, p297",1
"LUCKIE DB, 2013, CBE-LIFE SCI EDUC","anonymous, 2010, j harvards j     jul, p64;ausubel dp, 2000, acquisition retentio;baddeley a d, 1974, psychol learn motiv, v8, p47,","467",2010,"v8","p64","anonymous","  j harvards j     jul ;ausubel dp 000 acquisition retentio;baddeley a d 1974 psychol learn motiv  p47","article","anonymous, 2010, j harvards j     jul, p64;ausubel dp, 2000, acquisition retentio;baddeley a d, 1974, psychol learn motiv, v8, p47","anonymous","anonymous, 2010, j harvards j     jul, p64;ausubel dp, 2000, acquisition retentio;baddeley a d, 1974, psychol learn motiv, v8, p47",1
